ID,TransactionDate,HouseAge,DistanceToStation,NumberOfPubs,PostCode,HousePrice
0,2020.12,17,467.6447748,4,5222,467104
1,2021.04,36,659.9249634,3,5222,547714
2,2019.04,38,305.4759413,7,5213,277232
3,2021.1,11,607.0347537,5,5213,295958
4,2021.02,14,378.827222,5,5614,439963
5,2020.02,16,806.7524051,1,5212,281262
6,2019.01,12,561.7416775,5,5614,324167
7,2019.06,2,612.5508972,4,5213,343720
8,2020.03,40,70.56580069,8,5222,668514
9,2019.07,14,600.7499203,5,5222,347909
10,2019.02,12,334.7580288,5,5212,266109
11,2021.06,16,228.6312482,5,5222,473829
12,2019.11,33,29.52032052,8,5213,279873
13,2019.05,8,273.2645418,4999999,5213,356012
14,2019.11,18,1079.164209,0,5213,152158
15,2019.08,15,3926.537932,0,5212,116344
16,2020.08,17,3946.629369,0,5217,144245
17,2020.05,19,110.4300564,10,5217,379539
18,2020.08,12,75.89644642,5,5212,306998
19,2020.07,1,35.35374942,0,5614,531502
20,2021.09,0,146.3478595,6,5213,533675
21,2019.09,34,45.58700639,10,5614,407365
22,2021.05,34,470.459029,7,5217,341759
23,2019.1,14,273.0166996,7,5614,439163
24,2019.01,,,4,5217,137921
25,2020.1,19,587.0171266,9,5212,286413
26,2020.09,29,4310.525368,1,5213,136039
27,2019.09,10,304.2628125,7,5212,337060
28,2021.09,32,208.1536855,9,5614,398658
29,2019.12,39,531.4525371,0,5212,199449
30,2019.1,18,640.6367047,8,5212,136153
31,2019.01,17,379.007178,6,5213,308035
32,2021.1,29,809.8647113,8,5222,
33,2019.04,36,413.8393847,3,5222,460453
34,2021.12,31,6288.289785,1,5614,109403
35,2020.11,2,34.46560608,4,5217,361837
36,2021.09,10,943.6863197,0,5212,290560
37,2019.01,0,25.0762634,6,5614,371947
38,2019.05,17,262.2682212,5,5222,611812
39,2021.01,27,509.6211516,7,5213,329061
40,2019.11,15,1517.428824,3,5614,308020
41,2020.09,18,349.8040694,8,5217,325273
42,2021.11,19,349.5436761,7,5213,330936
43,2020.01,13,3994.772026,0,5217,125642
44,2019.11,9,941.6133168,0,5217,316950
45,2020.02,1,327.2579995,7,5217,337717
46,2019.09,31,1416.078923,3,5614,229781
47,2021.03,14,4206.734972,0,5217,203646
48,,13,1214.171333,1,5614,
49,2020.02,19,484.1720697,5,5614,304038
50,2021.01,3,595.1028941,6,5213,345217
51,2019.03,40,121.5171583,8,5217,270388
52,2019.11,0,142.1386554,5,5212,401500
53,2020.06,18,1910.191929,3,5222,270095
